dataset,variable,label
NFHS-5 Household,hv101_13,relationship to head
NFHS-5 Household,hv101_14,relationship to head
NFHS-5 Household,hv101_15,relationship to head
NFHS-5 Household,hv101_16,relationship to head
NFHS-5 Household,hv101_17,relationship to head
NFHS-5 Household,hv101_18,relationship to head
NFHS-5 Household,hv101_19,relationship to head
NFHS-5 Household,hv101_20,relationship to head
NFHS-5 Household,hv101_21,relationship to head
NFHS-5 Household,hv101_22,relationship to head
NFHS-5 Household,hv101_23,relationship to head
NFHS-5 Household,hv101_24,relationship to head
NFHS-5 Household,hv101_25,relationship to head
NFHS-5 Household,hv101_26,relationship to head
NFHS-5 Household,hv101_27,relationship to head
NFHS-5 Household,hv101_28,relationship to head
NFHS-5 Household,hv101_29,relationship to head
NFHS-5 Household,hv101_30,relationship to head
NFHS-5 Household,hv101_31,relationship to head
NFHS-5 Household,hv101_32,relationship to head
NFHS-5 Household,hv101_33,relationship to head
NFHS-5 Household,hv101_34,relationship to head
NFHS-5 Household,hv101_35,relationship to head
NFHS-5 Household,hv102_01,usual resident
NFHS-5 Household,hv102_02,usual resident
NFHS-5 Household,hv102_03,usual resident
NFHS-5 Household,hv102_04,usual resident
NFHS-5 Household,hv102_05,usual resident
NFHS-5 Household,hv102_06,usual resident
NFHS-5 Household,hv102_07,usual resident
NFHS-5 Household,hv102_08,usual resident
NFHS-5 Household,hv102_09,usual resident
NFHS-5 Household,hv102_10,usual resident
NFHS-5 Household,hv102_11,usual resident
NFHS-5 Household,hv102_12,usual resident
NFHS-5 Household,hv102_13,usual resident
NFHS-5 Household,hv102_14,usual resident
NFHS-5 Household,hv102_15,usual resident
NFHS-5 Household,hv102_16,usual resident
NFHS-5 Household,hv102_17,usual resident
NFHS-5 Household,hv102_18,usual resident
NFHS-5 Household,hv102_19,usual resident
NFHS-5 Household,hv102_20,usual resident
NFHS-5 Household,hv102_21,usual resident
NFHS-5 Household,hv102_22,usual resident
NFHS-5 Household,hv102_23,usual resident
NFHS-5 Household,hv102_24,usual resident
NFHS-5 Household,hv102_25,usual resident
NFHS-5 Household,hv102_26,usual resident
NFHS-5 Household,hv102_27,usual resident
NFHS-5 Household,hv102_28,usual resident
NFHS-5 Household,hv102_29,usual resident
NFHS-5 Household,hv102_30,usual resident
NFHS-5 Household,hv102_31,usual resident
NFHS-5 Household,hv102_32,usual resident
NFHS-5 Household,hv102_33,usual resident
NFHS-5 Household,hv102_34,usual resident
NFHS-5 Household,hv102_35,usual resident
NFHS-5 Household,hv103_01,slept last night
NFHS-5 Household,hv103_02,slept last night
NFHS-5 Household,hv103_03,slept last night
NFHS-5 Household,hv103_04,slept last night
NFHS-5 Household,hv103_05,slept last night
NFHS-5 Household,hv103_06,slept last night
NFHS-5 Household,hv103_07,slept last night
NFHS-5 Household,hv103_08,slept last night
NFHS-5 Household,hv103_09,slept last night
NFHS-5 Household,hv103_10,slept last night
NFHS-5 Household,hv103_11,slept last night
NFHS-5 Household,hv103_12,slept last night
NFHS-5 Household,hv103_13,slept last night
NFHS-5 Household,hv103_14,slept last night
NFHS-5 Household,hv103_15,slept last night
NFHS-5 Household,hv103_16,slept last night
NFHS-5 Household,hv103_17,slept last night
NFHS-5 Household,hv103_18,slept last night
NFHS-5 Household,hv103_19,slept last night
NFHS-5 Household,hv103_20,slept last night
NFHS-5 Household,hv103_21,slept last night
NFHS-5 Household,hv103_22,slept last night
NFHS-5 Household,hv103_23,slept last night
NFHS-5 Household,hv103_24,slept last night
NFHS-5 Household,hv103_25,slept last night
NFHS-5 Household,hv103_26,slept last night
NFHS-5 Household,hv103_27,slept last night
NFHS-5 Household,hv103_28,slept last night
NFHS-5 Household,hv103_29,slept last night
NFHS-5 Household,hv103_30,slept last night
NFHS-5 Household,hv103_31,slept last night
NFHS-5 Household,hv103_32,slept last night
NFHS-5 Household,hv103_33,slept last night
NFHS-5 Household,hv103_34,slept last night
NFHS-5 Household,hv103_35,slept last night
NFHS-5 Household,hv104_01,sex of household member
NFHS-5 Household,hv104_02,sex of household member
NFHS-5 Household,hv104_03,sex of household member
NFHS-5 Household,hv104_04,sex of household member
NFHS-5 Household,hv104_05,sex of household member
NFHS-5 Household,hv104_06,sex of household member
NFHS-5 Household,hv104_07,sex of household member
NFHS-5 Household,hv104_08,sex of household member
NFHS-5 Household,hv104_09,sex of household member
NFHS-5 Household,hv104_10,sex of household member
NFHS-5 Household,hv104_11,sex of household member
NFHS-5 Household,hv104_12,sex of household member
