state_canon,round,bank_account_use,mobile_use,decisions,child_marriage,literacy,pop_2011,deposits_cr_2013,offices_2013,deposits_cr_2016,offices_2020,deposits_cr_2020,deposits_pc,log_deposits_pc,branch_density,log_branch,deposits_pc_std,log_deposits_pc_std,branch_density_std,log_branch_std,t,state_code
PUNJAB,NFHS-5,81.62,61.23,91.42,8.71,81.4,27743338.0,219663.2,5044.0,290177.9983,13032.0,825728.5425,297631.28809518163,12.603610711143238,46.97343917303679,3.849582317989377,0.5354224917888134,1.109546773954512,1.8156084936655903,1.6501877653293995,2,30
RAJASTHAN,NFHS-3,7.6,,65.1,65.2,36.2,68548437.0,187518.3,5501.0,258997.5616,15172.0,855181.6897,27355.59090865923,10.216676207750972,8.024982393106935,2.0825594750083063,-0.6120718241084285,-1.3683303205815278,-0.7723903686975336,-0.996479145465095,0,31
RAJASTHAN,NFHS-4,58.2,41.4,81.7,35.4,56.5,68548437.0,187518.3,5501.0,258997.5616,15172.0,855181.6897,37783.146186104874,10.539618414086481,8.024982393106935,2.0825594750083063,-0.5678001395502883,-1.0330839638840792,-0.7723903686975336,-0.996479145465095,1,31
RAJASTHAN,NFHS-5,79.64,50.18,87.68,25.4,66.37,68548437.0,187518.3,5501.0,258997.5616,15172.0,855181.6897,124755.82626340554,11.734113716037463,22.133254475226035,3.097081204941638,-0.19854512673950836,0.20692180251999145,0.16505863742710422,0.5230830399148152,2,31
SIKKIM,NFHS-3,20.9,,93.6,30.1,72.3,610577.0,5201.2,104.0,6353.9559,326.0,19967.2058,85184.9971420476,11.352580607429694,17.03306872024331,2.83515667340581,-0.366548768816002,-0.1891477793150981,-0.17383219479034814,0.13076949767915777,0,32
SIKKIM,NFHS-4,63.5,79.8,95.3,14.5,86.6,610577.0,5201.2,104.0,6353.9559,326.0,19967.2058,104064.77643278407,11.55276883454799,17.03306872024331,2.83515667340581,-0.28639195247241667,0.018667651676929457,-0.17383219479034814,0.13076949767915777,1,32
SIKKIM,NFHS-5,76.41,88.64,89.73,10.75,88.92,610577.0,5201.2,104.0,6353.9559,326.0,19967.2058,327021.91206023155,12.69778245699287,53.39211925768576,3.9776631556311446,0.6602046097951297,1.2073064785721483,2.24210900563207,1.8420287006290343,2,32
TAMIL NADU,NFHS-3,15.9,,87.4,21.5,69.4,72147030.0,463778.7,8374.0,600034.7778,23046.0,1801021.0218,64282.43823758234,11.071041750643927,11.606853393687864,2.451595733453598,-0.4552935867195825,-0.481413312139678,-0.534386636559636,-0.4437324404690339,0,33
TAMIL NADU,NFHS-4,77.0,62.0,84.0,15.7,79.4,72147030.0,463778.7,8374.0,600034.7778,23046.0,1801021.0218,83168.32692905031,11.328621868381095,11.606853393687864,2.451595733453598,-0.37511083203716045,-0.21401935020157106,-0.534386636559636,-0.4437324404690339,1,33
TAMIL NADU,NFHS-5,92.17,74.62,92.8,12.83,85.89,72147030.0,463778.7,8374.0,600034.7778,23046.0,1801021.0218,249632.0391567054,12.427743269245743,31.94310285537742,3.4639562844484693,0.3316347820628175,0.9269787540389546,0.8168913041547085,1.0725927065174847,2,33
TELANGANA,NFHS-3,,,,,,,,,355785.8791,10568.0,999277.0064000001,,,,,,,,,0,34
TELANGANA,NFHS-4,59.7,47.8,81.1,25.7,65.2,,,,355785.8791,10568.0,999277.0064000001,,,,,,,,,1,34
TELANGANA,NFHS-5,84.36,59.98,87.16,23.46,66.64,,,,355785.8791,10568.0,999277.0064000001,,,,,,,,,2,34
TRIPURA,NFHS-3,18.7,,77.9,41.0,68.5,3673917.0,12653.900000000001,315.0,17325.1559,1128.0,52992.7427,34442.53095538087,10.447047444673693,8.573955263551136,2.148729150475112,-0.5819832016189807,-1.1291819022233822,-0.7359128986861949,-0.897369452994707,0,35
TRIPURA,NFHS-4,59.2,43.9,91.7,32.2,80.4,3673917.0,12653.900000000001,315.0,17325.1559,1128.0,52992.7427,47157.17829226954,10.761241520212186,8.573955263551136,2.148729150475112,-0.5280013390261005,-0.803016981523078,-0.7359128986861949,-0.897369452994707,1,35
