snapshot_label,snapshot_year,snapshot_month,source_file,sheet_name,row_type,region_name_raw,state_name_raw,district_name_raw,bank_group,offices,deposits_million_rs,credit_million_rs,region_name_clean,state_name_clean,district_name_clean
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Mewat,old_private_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,MEWAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Mewat,new_private_banks,3.0,93.0,4.0,NORTHERN REGION,HARYANA,MEWAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Palwal,state_bank_of_india_and_its_associates,8.0,4841.0,1973.0,NORTHERN REGION,HARYANA,PALWAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Palwal,nationalised_banks,40.0,10558.0,5737.0,NORTHERN REGION,HARYANA,PALWAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Palwal,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,PALWAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Palwal,regional_rural_banks,29.0,3468.0,5098.0,NORTHERN REGION,HARYANA,PALWAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Palwal,old_private_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,PALWAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Palwal,new_private_banks,4.0,2317.0,888.0,NORTHERN REGION,HARYANA,PALWAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Panchkula,state_bank_of_india_and_its_associates,35.0,26660.0,18847.0,NORTHERN REGION,HARYANA,PANCHKULA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Panchkula,nationalised_banks,87.0,81576.0,147179.0,NORTHERN REGION,HARYANA,PANCHKULA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Panchkula,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,PANCHKULA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Panchkula,regional_rural_banks,7.0,21133.0,770.0,NORTHERN REGION,HARYANA,PANCHKULA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Panchkula,old_private_banks,5.0,3020.0,2048.0,NORTHERN REGION,HARYANA,PANCHKULA
