snapshot_label,snapshot_year,snapshot_month,region_name_raw,region_name_clean,state_name_raw,state_name_clean,district_name_raw,district_name_clean,reporting_offices_total,deposits_total_million_rs,credit_total_million_rs,deposits_total_crore_rs,credit_total_crore_rs
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Durg,DURG,175.0,113180.0,50194.0,11318.0,5019.4
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Gariyaband,GARIYABAND,23.0,4396.0,1147.0,439.6,114.7
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Janjgir-Champa,JANJGIR CHAMPA,95.0,24630.0,7149.0,2463.0,714.9
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Jashpur,JASHPUR,57.0,12874.0,3204.0,1287.4,320.4
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Kanker,KANKER,48.0,9856.0,3469.0,985.6,346.9
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Kawardha,KAWARDHA,44.0,7474.0,3383.0,747.4,338.3
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Kondagaon,KONDAGAON,26.0,5427.0,1700.0,542.7,170.0
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Korba,KORBA,87.0,36383.0,14966.0,3638.3,1496.6
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Koriya,KORIYA,66.0,20229.0,4339.0,2022.9,433.9
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Mahasamund,MAHASAMUND,66.0,11993.0,6122.0,1199.3,612.2
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Mungeli,MUNGELI,26.0,4880.0,2407.0,488.0,240.7
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Narayanpur,NARAYANPUR,8.0,1907.0,315.0,190.7,31.5
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Raigarh,RAIGARH,119.0,35213.0,20966.0,3521.3,2096.6
